Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 0)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
945,16655.43333333,16686.733333329998,16745.53333333,,,,964.0,734.0,691.0,,,,751.0,1381.0,386.0,3
950,17905.4,17916.233333329998,17867.233333329998,,,,1000.0,806.0,758.0,,,,796.0,1381.0,357.0,3
955,18531.91666666,18526.11666666,18513.65,,,,1000.0,835.0,784.0,,,,807.0,1381.0,370.0,3
960,18698.88333333,18691.85,18711.733333329998,,,,1000.0,838.0,792.0,,,,808.0,1381.0,436.0,3
965,18817.75,18810.46666666,18835.3,,,,1000.0,842.0,795.0,,,,808.0,1381.0,416.0,3
970,19025.9,19040.78333333,19036.8,,,,1000.0,852.0,804.0,,,,812.0,1381.0,387.0,3
975,19095.1,19080.88333333,19087.266666659998,,,,1000.0,855.0,806.0,,,,812.0,1381.0,376.0,3
980,19237.28333333,19224.08333333,19216.85,,,,1000.0,859.0,813.0,,,,811.0,1381.0,655.0,3
985,19280.33333333,19259.46666666,19260.35,,,,1000.0,860.0,814.0,,,,813.0,1381.0,600.0,3
990,19490.733333329998,19453.233333329998,19481.25,,,,1000.0,869.0,823.0,,,,815.0,1381.0,355.0,3
995,19594.38333333,19658.9,19622.33333333,,,,1000.0,873.0,822.0,,,,816.0,1381.0,370.0,3
1000,19816.516666659998,19817.88333333,19803.3,,,,1000.0,878.0,830.0,,,,814.0,1381.0,362.0,3
