,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1701952400000,12286.966666659999,12099.616666659998,12245.116666659998,12096.58333333,,,
1701952405000,12510.98333333,12323.08333333,12373.68333333,12223.75,,,
1701952410000,12781.83333333,12472.466666659999,12599.43333333,11929.716666659999,,,
1701952415000,12385.85,12185.516666659998,12254.75,12381.616666659998,,,
1701952420000,12880.633333329999,12638.08333333,12774.516666659998,12449.516666659998,,,
1701952425000,12881.116666659998,12697.783333329999,12785.41666666,12248.35,,,
1701952430000,12659.966666659999,12486.766666659998,12589.4,12236.3,,,
1701952435000,12533.08333333,12440.466666659999,12400.2,12390.016666659998,,,
1701952440000,12782.08333333,12662.91666666,12527.35,12052.95,,,
1701952445000,12716.2,12281.016666659998,12402.4,11986.98333333,,,
1701952450000,12451.68333333,12278.4,12564.1,12119.383333329999,,,
1701952455000,12753.616666659998,12363.75,12470.7,12266.05,,,
1701952460000,12498.3,12330.516666659998,12536.75,12250.68333333,,,
1701952465000,12712.31666666,12485.66666666,12604.766666659998,12247.68333333,,,
1701952470000,12721.6,12465.58333333,12653.81666666,12960.55,,,
1701952475000,13337.75,13207.55,13340.266666659998,11977.65,,,
1701952480000,12187.15,12175.68333333,12221.31666666,12021.866666659998,,,
1701952485000,12444.283333329999,12263.633333329999,12373.8,12350.516666659998,,,
1701952490000,12567.48333333,12587.66666666,12719.33333333,12288.85,,,
1701952495000,12820.31666666,12561.06666666,12689.133333329999,12315.93333333,,,
1701952500000,12551.716666659999,12526.81666666,12637.716666659999,12425.68333333,,,
1701952505000,12782.23333333,12733.98333333,12901.23333333,12370.5,,,
1701952510000,12793.533333329999,12605.48333333,12499.31666666,12182.75,,,
1701952515000,12628.783333329999,12397.866666659998,12523.4,12120.366666659998,,,
1701952520000,12533.9,12502.5,12460.23333333,12111.81666666,,,
1701952525000,12528.83333333,12343.883333329999,12496.4,11932.216666659999,,,
1701952530000,12424.466666659999,12150.1,12189.56666666,11814.033333329999,,,
1701952535000,12076.91666666,12047.216666659999,12164.85,11902.56666666,,,
1701952540000,12495.966666659999,12126.533333329999,12245.68333333,11784.18333333,,,
1701952545000,12156.41666666,12005.366666659998,12134.3,11518.7,,,
1701952550000,12177.7,11938.83333333,12052.68333333,11805.15,,,
1701952555000,12089.15,11988.06666666,12092.716666659999,11447.7,,,
1701952560000,12085.31666666,11655.83333333,11762.91666666,11544.93333333,,,
1701952565000,12118.116666659998,11693.66666666,11991.85,11610.0,,,
1701952570000,12054.08333333,11956.633333329999,12194.116666659998,11672.966666659999,,,
1701952575000,12128.116666659998,11900.0,12141.55,11695.366666659998,,,
1701952580000,12329.9,11915.2,12037.616666659998,11727.966666659999,,,
1701952585000,12219.1,11951.1,12245.33333333,11874.966666659999,,,
1701952590000,12286.05,12090.966666659999,12201.033333329999,11844.366666659998,,,
1701952595000,12269.33333333,12080.5,12195.366666659998,11952.4,,,
1701952600000,12368.75,12189.7,12303.9,11791.68333333,,,
1701952605000,12270.6,12006.55,12118.366666659998,12102.48333333,,,
1701952610000,12277.95,12125.98333333,12240.81666666,12022.16666666,,,
1701952615000,12499.43333333,12256.95,12373.75,12117.81666666,,,
1701952620000,12492.7,12343.08333333,12657.93333333,12044.516666659998,,,
1701952625000,12450.65,12272.4,12385.033333329999,12354.68333333,,,
1701952630000,12532.55,12395.33333333,12455.3,12214.98333333,,,
1701952635000,12617.85,12446.18333333,12434.266666659998,12010.55,,,
1701952640000,12464.48333333,12237.9,12357.55,12701.516666659998,,,
1701952645000,13062.18333333,12958.516666659998,12864.16666666,12472.81666666,,,
1701952650000,12931.116666659998,12718.66666666,12849.65,12458.16666666,,,
1701952655000,12962.4,12687.1,12806.716666659999,12545.6,,,
