,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1706533610000,2419.5333333333,1625.4333333333,2330.2333333333004,2492.1666666666,1583.1166666666,2304.9666666666,2282.5833333333
1706533615000,2942.1333333333,2307.0333333333,3052.6333333333,3264.9333333332997,2312.1833333333,3020.6333333333,2990.0666666665998
1706533620000,3668.6,3021.6833333333,3751.8333333299997,4002.85,3030.4333333333,3710.23333333,3673.86666667
1706533625000,4508.88333333,3713.21666667,4343.65,4645.75,3678.68333333,4297.71666667,4252.78333333
1706533630000,4960.26666667,4300.23333333,4935.83333333,5274.46666667,4311.05,4884.6,4837.41666667
1706533635000,5607.6,4862.7,5578.46666667,5966.483333329999,4876.65,5520.75,5466.18333333
1706533640000,6495.15,5525.26666667,6254.08333333,6691.35,5526.9,6189.18333333,6129.3
1706533645000,6916.61666666,6193.3,6762.3,7215.16666666,6163.41666667,6697.4,6625.13333333
1706533650000,7298.7,6696.88333333,7178.51666666,7695.53333333,6706.6666666599995,7113.26666666,7044.55
1706533655000,7945.45,7109.36666666,7631.48333333,8157.08333333,7089.73333333,7545.01666666,7482.08333333
1706533660000,8248.133333329999,7544.5,7844.78333333,8391.06666666,7567.15,7666.1,7591.01666666
1706533665000,8373.01666666,7771.31666666,8006.21666666,8612.633333329999,7788.51666666,7925.55,7847.3
1706533670000,8182.9,7928.61666666,7980.3,8536.05,7995.73333333,7897.75,7820.11666666
1706533675000,8552.6,7902.4,8025.01666666,8554.883333329999,7849.05,7952.18333333,7866.53333333
1706533680000,8676.25,7949.73333333,8133.96666666,8708.033333329999,7924.75,8072.65,7972.58333333
