,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1736617820000,1000.0
1736617825000,1000.0
1736617830000,1000.0
1736617835000,1000.0
1736617840000,
1736618280000,1000.0
1736618285000,458.0
1736618290000,335.0
1736618295000,277.0
1736618300000,450.0
1736618305000,560.0
1736618310000,633.0
1736618315000,685.0
1736618320000,725.0
1736618325000,755.0
1736618330000,780.0
1736618335000,800.0
1736618340000,816.0
1736618345000,861.0
1736618350000,927.0
1736618355000,997.0
1736618360000,1000.0
1736618365000,1000.0
1736618370000,1000.0
1736618375000,1000.0
1736618380000,1000.0
1736618385000,1000.0
1736618390000,1000.0
1736618395000,1000.0
1736618400000,1000.0
1736618405000,1000.0
1736618410000,1000.0
1736618415000,1000.0
1736618420000,1000.0
1736618425000,1000.0
1736618430000,1000.0
1736618435000,1000.0
1736618440000,1000.0
1736618445000,1000.0
1736618450000,1000.0
1736618455000,1000.0
1736618460000,
1736618555000,1000.0
1736618560000,1000.0
1736618565000,0.0
1736618570000,205.0
1736618575000,470.0
1736618580000,603.0
1736618585000,682.0
1736618590000,735.0
1736618595000,773.0
1736618600000,802.0
1736618605000,824.0
1736618610000,841.0
1736618615000,856.0
1736618620000,868.0
1736618625000,955.0
1736618630000,1000.0
1736618635000,1000.0
1736618640000,1000.0
1736618645000,1000.0
1736618650000,1000.0
1736618655000,1000.0
1736618660000,1000.0
1736618665000,1000.0
1736618670000,1000.0
1736618675000,1000.0
1736618680000,1000.0
1736618685000,1000.0
1736618690000,1000.0
1736618695000,1000.0
1736618700000,1000.0
1736618705000,1000.0
1736618710000,1000.0
1736618715000,1000.0
1736618720000,1000.0
1736618725000,1000.0
1736618730000,1000.0
1736618735000,
1736618830000,1000.0
1736618835000,1000.0
1736618840000,0.0
1736618845000,0.0
1736618850000,97.0
1736618855000,323.0
1736618860000,458.0
1736618865000,549.0
1736618870000,613.0
1736618875000,662.0
1736618880000,699.0
1736618885000,729.0
1736618890000,754.0
1736618895000,775.0
1736618900000,892.0
1736618905000,976.0
1736618910000,1000.0
1736618915000,1000.0
1736618920000,1000.0
1736618925000,1000.0
1736618930000,1000.0
1736618935000,1000.0
1736618940000,1000.0
1736618945000,1000.0
1736618950000,1000.0
1736618955000,1000.0
1736618960000,1000.0
1736618965000,1000.0
1736618970000,1000.0
1736618975000,1000.0
1736618980000,1000.0
1736618985000,1000.0
1736618990000,1000.0
1736618995000,1000.0
1736619000000,1000.0
1736619005000,1000.0
1736619010000,
1736619110000,1000.0
1736619115000,392.0
1736619120000,293.0
1736619125000,271.0
1736619130000,444.0
