,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2
,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Timestamp,,,,,,,,,,,,,,,,,,
1736793445000,9.0,19.0,19.0,1.0,0.0,0.0,11.0,1.0,1.0,0.0,9.0,9.0,2304000.0,129.0,101.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793450000,9.0,20.0,19.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,9.0,9.0,3.0,575.0,309.0,819.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793455000,9.0,19.0,19.0,1.0,0.0,0.0,12.0,1.0,1.0,0.0,9.0,9.0,2304000.0,292.0,18.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793460000,9.0,18.0,18.0,1.0,0.0,0.0,12.0,1.0,1.0,0.0,9.0,9.0,4.0,201.0,76663.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793465000,9.0,19.0,3.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,9.0,9.0,5454000.0,143.0,14.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793470000,9.0,19.0,20.0,2.0,0.0,0.0,11.0,1.0,1.0,0.0,9.0,9.0,2304000.0,143.0,14.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793475000,9.0,19.0,20.0,1.0,0.0,0.0,12.0,1.0,1.0,0.0,9.0,9.0,2457000.0,201.0,25.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793480000,9.0,19.0,20.0,1.0,0.0,0.0,12.0,1.0,4.0,0.0,9.0,9.0,2304000.0,201.0,25.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793485000,9.0,19.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,9.0,9.0,2.0,135.0,51.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793490000,9.0,19.0,19.0,1.0,0.0,0.0,11.0,1.0,1.0,0.0,9.0,9.0,2304000.0,224.0,13.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793495000,9.0,19.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,10.0,9.0,1.0,899.0,29567000.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793500000,9.0,19.0,19.0,2.0,0.0,0.0,11.0,1.0,1.0,0.0,9.0,9.0,2367000.0,114.0,13.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793505000,9.0,19.0,19.0,1.0,0.0,0.0,11.0,1.0,1.0,0.0,9.0,9.0,2304000.0,114.0,13.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793510000,9.0,19.0,19.0,1.0,0.0,0.0,12.0,1.0,1.0,0.0,9.0,9.0,2439000.0,124.0,46.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793515000,9.0,19.0,19.0,1.0,0.0,0.0,12.0,1.0,1.0,0.0,9.0,9.0,2304000.0,124.0,46.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793520000,9.0,19.0,0.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,9.0,9.0,7.0,292.0,15.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
