,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source,Map,Map,Map,Map,Map,Map,Map,Sink:_Sink,Source:_Source,Map,Map,Map,Map,Map,Map,Map,Sink:_Sink,Source:_Source,Map,Map,Map,Map,Map,Map,Map,Sink:_Sink
,0,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,0
Timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722244825000,0.0,9.0,3.0,,,,,,1.0,10.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,335.0,100.0,,,,,,0.0
1722244830000,0.0,10.0,7.0,,,,,,1.0,11.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,335.0,134.0,,,,,,0.0
1722244835000,0.0,9.0,0.0,,,,,,1.0,9.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,335.0,33.0,,,,,,0.0
1722244840000,0.0,9.0,3.0,,,,,,1.0,10.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,361.0,67.0,,,,,,0.0
1722244845000,0.0,10.0,3.0,,,,,,1.0,10.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,301.0,32.0,,,,,,0.0
1722244850000,0.0,10.0,7.0,,,,,,1.0,11.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,402.0,234.0,,,,,,0.0
1722244855000,0.0,9.0,3.0,,,,,,1.0,10.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,361.0,67.0,,,,,,0.0
1722244860000,0.0,,4.0,,,,,,,9.0,,,,,,,,0.0,,,,,,,,,0.0
1722244865000,0.0,8.0,9.0,,,,,,1.0,11.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,268.0,402.0,,,,,,0.0
1722244870000,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722244905000,0.0,5.0,8.0,0.0,,,,,1.0,13.0,1.0,10.0,0.0,,,,,0.0,-9.223372036854775e+18,120.0,142464000.0,0.0,,,,,0.0
1722244910000,0.0,5.0,1.0,9.0,,,,,1.0,13.0,1.0,5.0,1.0,,,,,0.0,-9.223372036854775e+18,167.0,39.0,51.0,,,,,0.0
1722244915000,0.0,6.0,7.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,202.0,201.0,435.0,,,,,0.0
1722244920000,0.0,4.0,4.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,167.0,86.0,502.0,,,,,0.0
1722244925000,0.0,4.0,0.0,9.0,,,,,10.0,13.0,10.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,788.0,33.0,643.0,,,,,0.0
1722244930000,0.0,7.0,1.0,9.0,,,,,1.0,13.0,1.0,10.0,1.0,,,,,0.0,-9.223372036854775e+18,234.0,63.0,522.0,,,,,0.0
1722244935000,0.0,6.0,7.0,9.0,,,,,1.0,12.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,202.0,231.0,562.0,,,,,0.0
1722244940000,0.0,5.0,1.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,167.0,57.0,606.0,,,,,0.0
1722244945000,0.0,4.0,1.0,9.0,,,,,10.0,13.0,10.0,1.0,2.0,,,,,0.0,-9.223372036854775e+18,118588000.0,35.0,603.0,,,,,0.0
1722244950000,0.0,8.0,1.0,9.0,,,,,1.0,13.0,1.0,10.0,1.0,,,,,0.0,-9.223372036854775e+18,268.0,35.0,482.0,,,,,0.0
1722244955000,0.0,6.0,7.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,242.0,172.0,437.0,,,,,0.0
1722244960000,0.0,8.0,5.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,268.0,201.0,402.0,,,,,0.0
1722244965000,0.0,8.0,1.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,353.0,33.0,435.0,,,,,1.0
1722244970000,0.0,7.0,2.0,9.0,,,,,1.0,13.0,1.0,10.0,1.0,,,,,0.0,-9.223372036854775e+18,281.0,32.0,438.0,,,,,0.0
1722244975000,0.0,8.0,6.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,268.0,201.0,402.0,,,,,0.0
1722244980000,0.0,8.0,5.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,268.0,202.0,404.0,,,,,0.0
1722244985000,0.0,4.0,1.0,9.0,,,,,10.0,13.0,10.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,268.0,67.0,469.0,,,,,1.0
1722244990000,0.0,8.0,3.0,9.0,,,,,1.0,13.0,1.0,6.0,1.0,,,,,0.0,-9.223372036854775e+18,268.0,133.0,522.0,,,,,0.0
1722244995000,0.0,8.0,8.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,268.0,172.0,315.0,,,,,0.0
1722245000000,0.0,6.0,3.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,201.0,167.0,471.0,,,,,0.0
1722245005000,0.0,4.0,0.0,9.0,,,,,10.0,13.0,10.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,752.0,34.0,1125.0,,,,,2.0
1722245010000,0.0,8.0,0.0,9.0,,,,,1.0,13.0,1.0,10.0,1.0,,,,,0.0,-9.223372036854775e+18,321.0,34.0,482.0,,,,,0.0
1722245015000,0.0,8.0,6.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,268.0,268.0,402.0,,,,,0.0
1722245020000,0.0,8.0,4.0,9.0,,,,,1.0,13.0,1.0,1.0,2.0,,,,,0.0,-9.223372036854775e+18,321.0,134.0,522.0,,,,,0.0
1722245025000,0.0,8.0,6.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,301.0,201.0,402.0,,,,,0.0
1722245030000,0.0,7.0,1.0,9.0,,,,,1.0,12.0,1.0,9.0,1.0,,,,,0.0,-9.223372036854775e+18,269.0,66.0,435.0,,,,,0.0
1722245035000,0.0,8.0,5.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,234.0,167.0,444.0,,,,,0.0
1722245040000,0.0,8.0,4.0,9.0,,,,,1.0,13.0,1.0,1.0,2.0,,,,,0.0,-9.223372036854775e+18,234.0,114.0,402.0,,,,,0.0
1722245045000,0.0,8.0,4.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,133.0,100.0,435.0,,,,,0.0
1722245050000,0.0,7.0,2.0,9.0,,,,,1.0,13.0,1.0,10.0,1.0,,,,,0.0,-9.223372036854775e+18,268.0,109.0,562.0,,,,,0.0
1722245055000,0.0,8.0,7.0,9.0,,,,,1.0,13.0,1.0,1.0,2.0,,,,,0.0,-9.223372036854775e+18,268.0,167.0,404.0,,,,,0.0
1722245060000,0.0,6.0,2.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,201.0,66.0,562.0,,,,,0.0
1722245065000,0.0,8.0,2.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,402.0,100.0,435.0,,,,,0.0
1722245070000,0.0,8.0,3.0,9.0,,,,,1.0,13.0,1.0,8.0,1.0,,,,,0.0,-9.223372036854775e+18,268.0,100.0,435.0,,,,,0.0
1722245075000,0.0,8.0,9.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,323.0,269.0,402.0,,,,,0.0
1722245080000,0.0,8.0,6.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,268.0,168.0,402.0,,,,,0.0
1722245085000,0.0,7.0,3.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,268.0,100.0,469.0,,,,,0.0
1722245090000,0.0,6.0,0.0,9.0,,,,,1.0,11.0,1.0,9.0,1.0,,,,,0.0,-9.223372036854775e+18,269.0,30.0,479.0,,,,,0.0
