,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1709768185000,790.0,981.0,589.0,537.0,,
1709768190000,810.0,980.0,588.0,538.0,,
1709768195000,802.0,979.0,573.0,528.0,,
1709768200000,817.0,974.0,598.0,541.0,,
1709768205000,830.0,975.0,594.0,539.0,,
1709768210000,830.0,974.0,583.0,525.0,,
1709768215000,833.0,968.0,576.0,524.0,,
1709768220000,818.0,966.0,530.0,478.0,,
1709768225000,792.0,966.0,477.0,441.0,,
1709768230000,804.0,965.0,465.0,450.0,,
1709768235000,796.0,975.0,447.0,435.0,,
1709768240000,775.0,975.0,452.0,434.0,,
1709768245000,754.0,974.0,457.0,440.0,,
1709768250000,756.0,972.0,460.0,439.0,,
1709768255000,749.0,974.0,471.0,441.0,,
1709768260000,713.0,978.0,451.0,429.0,,
1709768265000,731.0,973.0,457.0,433.0,,
1709768270000,737.0,974.0,459.0,436.0,,
1709768275000,706.0,980.0,451.0,420.0,,
1709768280000,721.0,975.0,451.0,423.0,,
1709768285000,,941.0,,,,
1709768290000,,,,,,
1709768335000,,,1000.0,,,
1709768340000,1000.0,1000.0,1000.0,1000.0,1000.0,
1709768345000,1000.0,205.0,317.0,228.0,213.0,
1709768350000,1000.0,205.0,360.0,200.0,191.0,
1709768355000,989.0,305.0,573.0,326.0,317.0,
1709768360000,986.0,341.0,634.0,367.0,341.0,
1709768365000,989.0,344.0,664.0,383.0,365.0,
1709768370000,991.0,356.0,692.0,385.0,371.0,
1709768375000,990.0,387.0,729.0,405.0,389.0,
1709768380000,990.0,464.0,763.0,479.0,466.0,
1709768385000,992.0,520.0,775.0,515.0,506.0,
1709768390000,992.0,490.0,764.0,485.0,473.0,
1709768395000,980.0,487.0,784.0,481.0,470.0,
1709768400000,980.0,471.0,800.0,467.0,455.0,
1709768405000,960.0,481.0,852.0,474.0,463.0,
1709768410000,955.0,503.0,899.0,498.0,488.0,
1709768415000,955.0,490.0,894.0,481.0,468.0,
1709768420000,952.0,493.0,908.0,477.0,470.0,
1709768425000,950.0,494.0,925.0,474.0,463.0,
1709768430000,933.0,503.0,935.0,488.0,473.0,
1709768435000,933.0,488.0,937.0,484.0,463.0,
1709768440000,924.0,438.0,936.0,433.0,412.0,
1709768445000,906.0,390.0,945.0,399.0,377.0,
1709768450000,876.0,405.0,973.0,418.0,401.0,
1709768455000,836.0,401.0,974.0,414.0,398.0,
1709768460000,813.0,415.0,976.0,420.0,408.0,
1709768465000,804.0,420.0,981.0,422.0,410.0,
1709768470000,724.0,414.0,984.0,417.0,401.0,
1709768475000,724.0,433.0,987.0,427.0,415.0,
1709768480000,715.0,425.0,984.0,416.0,405.0,
1709768485000,698.0,425.0,985.0,414.0,401.0,
1709768490000,654.0,421.0,987.0,409.0,398.0,
1709768495000,654.0,420.0,988.0,405.0,396.0,
1709768500000,642.0,411.0,989.0,399.0,388.0,
1709768505000,612.0,408.0,989.0,395.0,382.0,
1709768510000,609.0,419.0,989.0,409.0,384.0,
1709768515000,627.0,411.0,989.0,405.0,374.0,
1709768520000,611.0,404.0,989.0,406.0,366.0,
1709768525000,599.0,404.0,989.0,407.0,364.0,
1709768530000,611.0,406.0,989.0,414.0,366.0,
1709768535000,613.0,388.0,991.0,401.0,350.0,
1709768540000,585.0,394.0,996.0,412.0,357.0,
1709768545000,571.0,396.0,990.0,408.0,355.0,
1709768550000,596.0,395.0,992.0,404.0,354.0,
1709768555000,587.0,397.0,992.0,408.0,369.0,
1709768560000,579.0,393.0,991.0,406.0,366.0,
1709768565000,587.0,394.0,992.0,406.0,369.0,
1709768570000,588.0,389.0,992.0,395.0,362.0,
1709768575000,587.0,381.0,992.0,382.0,351.0,
1709768580000,589.0,376.0,992.0,377.0,352.0,
1709768585000,590.0,377.0,992.0,376.0,353.0,
1709768590000,581.0,394.0,992.0,385.0,358.0,
1709768595000,595.0,407.0,992.0,399.0,378.0,
1709768600000,604.0,437.0,992.0,436.0,429.0,
1709768605000,629.0,436.0,993.0,444.0,468.0,
1709768610000,615.0,430.0,993.0,438.0,465.0,
1709768615000,624.0,424.0,993.0,432.0,452.0,
1709768620000,625.0,438.0,994.0,442.0,459.0,
1709768625000,635.0,433.0,994.0,438.0,452.0,
1709768630000,619.0,435.0,993.0,441.0,459.0,
1709768635000,617.0,454.0,993.0,455.0,478.0,
1709768640000,627.0,456.0,993.0,455.0,477.0,
1709768645000,617.0,455.0,992.0,458.0,477.0,
1709768650000,625.0,448.0,992.0,450.0,484.0,
1709768655000,618.0,428.0,993.0,433.0,463.0,
1709768660000,607.0,390.0,993.0,390.0,412.0,
1709768665000,578.0,392.0,997.0,385.0,374.0,
1709768670000,564.0,395.0,998.0,399.0,372.0,
1709768675000,549.0,394.0,998.0,395.0,366.0,
1709768680000,539.0,394.0,998.0,395.0,365.0,
1709768685000,530.0,412.0,997.0,405.0,380.0,
1709768690000,539.0,406.0,999.0,395.0,373.0,
1709768695000,518.0,399.0,999.0,392.0,369.0,
