,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1709768385000,2312.6,2412.8,16871.816666659997,2437.2666666666,2272.1166666666,
1709768390000,2454.7833333332997,2895.8333333333,20994.85,2924.4166666665997,2727.1833333332997,
1709768395000,2946.0833333333,3922.13333333,23920.383333330003,3882.26666667,3618.71666667,
1709768400000,4019.53333333,5209.88333333,28054.15,5230.21666667,4882.76666667,
1709768405000,5194.63333333,6540.983333329999,33202.5,6597.75,6159.91666667,
1709768410000,6656.616666670001,7358.3,36642.88333333,7433.55,6931.15,
1709768415000,7488.78333333,8204.51666666,40382.18333333,8254.9,7693.75,
1709768420000,8344.8,9566.81666666,43446.966666659995,9661.86666666,9012.11666666,
1709768425000,9736.73333333,10702.8,45592.36666666,10737.85,10029.23333333,
1709768430000,10994.383333329999,11337.58333333,45167.45,11439.41666666,10676.55,
1709768435000,11472.033333329999,12070.366666659998,46195.65,12149.883333329999,11334.283333329999,
1709768440000,12468.616666659998,13589.266666659998,52178.116666660004,13659.31666666,12773.5,
1709768445000,13973.7,14409.866666659998,55832.95,14508.2,13527.83333333,
1709768450000,14685.766666659998,14731.033333329999,57000.95,14865.33333333,13867.616666659998,
1709768455000,15050.16666666,14582.43333333,58493.41666666001,14785.93333333,13786.68333333,
1709768460000,14816.716666659999,14145.116666659998,58606.38333333,14241.55,13303.216666659999,
1709768465000,14533.4,13618.5,59031.03333333,13733.283333329999,12798.31666666,
1709768470000,13926.866666659998,13451.15,59754.88333333,13571.3,12664.48333333,
1709768475000,13738.65,13135.716666659999,59601.366666660004,13307.08333333,12405.98333333,
1709768480000,13240.18333333,12344.266666659998,59214.75,12422.81666666,11585.4,
1709768485000,12603.08333333,11651.43333333,59756.55,11820.366666659998,11017.93333333,
1709768490000,11873.216666659999,11331.21666666,60699.7,11454.01666666,10669.85,
1709768495000,11596.43333333,10825.26666666,59795.2,10942.08333333,10203.783333329999,
1709768500000,10981.23333333,10146.65,58715.13333333,10286.33333333,9565.06666666,
1709768505000,10301.21666666,10149.383333329999,60617.35,10264.4,9583.383333329999,
1709768510000,10328.66666666,10190.3,59647.31666666,10156.2,9567.61666666,
1709768515000,10335.56666666,10149.98333333,59838.85,10250.23333333,9568.383333329999,
1709768520000,10368.71666666,10136.75,61136.0,10298.01666666,9585.5,
1709768525000,10277.51666666,10150.71666666,59212.7,10248.93333333,9557.43333333,
1709768530000,10309.75,10127.93333333,59955.766666660005,10238.5,9535.65,
1709768535000,10345.01666666,10215.55,59764.28333333,10299.2,9611.91666666,
1709768540000,10564.633333329999,10090.43333333,58280.66666666001,10223.9,9532.68333333,
1709768545000,10306.35,10164.4,58935.58333333,10248.31666666,9559.66666666,
1709768550000,10328.45,10255.31666666,58859.03333333,10247.96666666,9555.36666666,
1709768555000,10396.55,9944.8,59460.96666666,10072.15,9383.35,
1709768560000,10021.2,10148.783333329999,58800.0,10267.46666666,9556.033333329999,
1709768565000,10366.43333333,10143.73333333,58925.983333330005,10255.16666666,9543.46666666,
1709768570000,10328.81666666,10117.66666666,59594.08333333,10357.66666666,9544.9,
1709768575000,10288.633333329999,10116.883333329999,56511.83333333,10201.883333329999,9489.25,
1709768580000,10309.15,10162.8,56144.75,10260.96666666,9556.6,
1709768585000,10353.31666666,10140.68333333,57815.15,10268.9,9561.33333333,
1709768590000,10345.4,10183.45,55895.68333333,10195.98333333,9489.383333329999,
1709768595000,10248.33333333,9932.08333333,56253.8,10069.86666666,9293.033333329999,
1709768600000,9985.3,9268.383333329999,52965.83333333,9312.33333333,8545.31666666,
1709768605000,9351.2,8925.46666666,50315.05,9046.18333333,8417.71666666,
1709768610000,9062.33333333,9781.95,50752.2,9983.76666666,9309.76666666,
1709768615000,10078.61666666,10344.68333333,51231.96666666,10433.1,9733.25,
1709768620000,10625.883333329999,10148.41666666,52089.95,10250.68333333,9555.6,
1709768625000,10328.783333329999,10154.31666666,51916.65,10257.68333333,9568.56666666,
1709768630000,10329.18333333,10034.7,52222.45,10142.16666666,9461.76666666,
1709768635000,10195.05,10128.85,54683.08333333,10262.883333329999,9584.06666666,
1709768640000,10244.133333329999,10149.21666666,55089.43333333,10258.633333329999,9556.2,
1709768645000,10366.23333333,10125.26666666,55373.65,10216.9,9542.16666666,
1709768650000,10331.31666666,10139.383333329999,55997.35,10235.7,9560.48333333,
1709768655000,10249.5,10372.55,55258.4,10437.533333329999,9825.83333333,
1709768660000,10650.7,11094.26666666,60557.7,11241.95,10622.81666666,
1709768665000,11320.83333333,11326.76666666,62890.483333330005,11441.33333333,10668.6,
1709768670000,11593.533333329999,10520.6,61848.95,10623.3,9876.85,
1709768675000,10688.4,10146.35,61763.016666660005,10261.33333333,9556.86666666,
1709768680000,10318.3,10144.55,62586.41666666001,10245.1,9559.86666666,
1709768685000,10300.58333333,10147.93333333,62077.05,10231.133333329999,9541.8,
1709768690000,10326.43333333,10240.25,61503.2,10247.93333333,9555.35,
1709768695000,10456.16666666,10204.01666666,61991.55,10302.06666666,9601.68333333,
1709768700000,10412.6,10141.01666666,61677.71666666,10248.283333329999,9558.31666666,
1709768705000,10327.45,10170.43333333,61976.31666666,10281.2,9580.65,
1709768710000,10328.96666666,10057.033333329999,62779.616666660004,10249.96666666,9556.783333329999,
1709768715000,10460.66666666,10068.83333333,62875.58333333,10159.56666666,9449.883333329999,
1709768720000,10320.11666666,10136.633333329999,63046.116666660004,10250.3,9557.06666666,
1709768725000,10329.033333329999,10197.58333333,63270.88333333,10277.58333333,9544.26666666,
1709768730000,10332.033333329999,10166.383333329999,0.0,10252.4,9574.08333333,
1709768735000,,,0.0,0.0,,
1709768740000,0.0,1105.5833333333,6639.75,1113.65,1039.9333333333,
1709768745000,,,,,,
1709768790000,0.0,,0.0,0.0,0.0,0.0
1709768795000,0.0,0.0,0.0,0.0,0.0,0.0
1709768800000,34.0,40.0,395.5333333333,50.1666666667,48.7,43.2333333333
1709768805000,209.2666666666,183.6833333333,1596.0,199.65,196.3,182.25
1709768810000,397.9,413.7666666666,3456.13333333,447.2666666666,440.8166666666,407.55
1709768815000,573.05,531.4833333333,7105.78333333,611.3666666666,604.3833333333,519.0166666666
1709768820000,827.1166666666,817.3333333333,11665.83333333,873.9333333333,859.3666666666,815.1
1709768825000,1911.8,1658.0666666666,14585.05,1834.25,1804.6666666666,1615.4
1709768830000,2923.55,2762.75,19114.93333333,2919.7833333332997,2873.4833333333,2731.25
1709768835000,3820.1,3544.56666667,24033.5,3664.95,3605.65,3454.36666667
1709768840000,4763.75,4422.33333333,28599.816666659997,4687.05,4611.91666667,4310.55
1709768845000,5649.78333333,5223.9,33277.41666666,5497.75,5423.46666667,5112.26666667
1709768850000,7070.21666666,6554.28333333,39042.45,6782.78333333,6674.06666666,6396.2
1709768855000,8044.9,7473.78333333,43677.38333333,7760.933333329999,7638.31666666,7291.76666666
1709768860000,8969.2,8346.2,47755.0,8622.41666666,8484.61666666,8132.41666666
1709768865000,9991.83333333,9220.783333329999,52664.233333330005,9562.45,9409.383333329999,8973.58333333
1709768870000,10526.36666666,9673.58333333,57425.116666660004,10022.11666666,9861.18333333,9423.133333329999
1709768875000,11102.68333333,10229.58333333,59162.31666666,10549.08333333,10377.01666666,9970.0
1709768880000,11481.31666666,10611.1,58336.4,10961.9,10760.3,10326.73333333
1709768885000,11221.1,10456.56666666,60080.66666666001,10756.91666666,10584.56666666,10193.25
1709768890000,10894.35,10061.25,60325.05,10335.86666666,10170.1,9766.98333333
1709768895000,10793.43333333,9965.11666666,60544.2,10341.08333333,10182.71666666,9703.91666666
1709768900000,10595.56666666,9768.633333329999,61119.25,10025.71666666,9867.033333329999,9515.33333333
1709768905000,10448.66666666,9641.5,61276.58333333,9919.58333333,9758.95,9376.283333329999
1709768910000,9695.31666666,8999.783333329999,61151.16666666001,9300.71666666,9152.55,8775.033333329999
1709768915000,9526.45,8770.81666666,61167.41666666001,9073.3,8933.91666666,8539.26666666
1709768920000,9304.25,8541.633333329999,61447.266666660005,8869.283333329999,8728.71666666,8321.783333329999
1709768925000,8841.783333329999,8121.733333329999,61071.96666666,8449.51666666,8347.83333333,7927.61666666
1709768930000,8791.033333329999,8201.01666666,60181.06666666,8444.35,8308.96666666,8008.71666666
1709768935000,8821.73333333,8210.2,59307.16666666001,8480.2,8387.56666666,8004.26666666
