,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1708179010000,13646.966666659999,13468.68333333,13043.65,13241.033333329999,11945.383333329999,,
1708179015000,12358.866666659998,12498.2,12135.33333333,12226.883333329999,13088.766666659998,,
1708179020000,13575.516666659998,13622.366666659998,13191.383333329999,13389.33333333,12872.516666659998,,
1708179025000,13575.516666659998,13396.8,12972.91666666,13166.83333333,12961.1,,
1708179030000,13452.75,13528.33333333,13075.8,13250.41666666,12969.45,,
1708179035000,13311.1,13531.516666659998,13049.45,13275.7,13117.41666666,,
1708179040000,13617.783333329999,13650.91666666,13225.766666659998,13417.25,13130.6,,
1708179045000,13617.783333329999,13667.35,13240.633333329999,13453.16666666,13312.45,,
1708179050000,13811.31666666,13834.216666659999,13400.25,13634.15,12787.4,,
1708179055000,13253.4,13319.16666666,12877.56666666,13083.216666659999,12859.98333333,,
1708179060000,13592.45,13447.98333333,12959.98333333,13161.5,13717.91666666,,
1708179065000,14213.56666666,14286.68333333,13823.9,14069.716666659999,13313.43333333,,
1708179070000,13823.8,13855.83333333,13425.283333329999,13617.41666666,13503.2,,
1708179075000,14110.33333333,14068.58333333,13580.83333333,13831.95,12913.016666659998,,
1708179080000,13397.66666666,13441.783333329999,13020.9,13209.73333333,13123.533333329999,,
1708179085000,13397.66666666,13662.45,13232.1,13428.783333329999,14571.58333333,,
1708179090000,15201.31666666,15104.66666666,14665.216666659999,14923.66666666,13301.966666659999,,
1708179095000,13949.1,13774.5,13475.56666666,13589.58333333,12129.16666666,,
1708179100000,12430.98333333,12687.15,12164.533333329999,12442.866666659998,13921.73333333,,
1708179105000,14708.05,14490.633333329999,14036.366666659998,14239.45,14197.43333333,,
1708179110000,14659.783333329999,14808.35,14291.266666659998,14527.23333333,13854.033333329999,,
1708179115000,14377.65,14419.366666659998,13972.06666666,14172.81666666,14302.0,,
1708179120000,14834.766666659998,14884.866666659998,14403.43333333,14665.1,12500.85,,
1708179125000,13006.58333333,12880.633333329999,12736.93333333,12975.68333333,14577.616666659998,,
1708179130000,15086.05,15337.31666666,14680.516666659998,14965.66666666,15492.55,,
1708179135000,16125.1,15964.93333333,15650.466666659999,15820.45,13854.866666659998,,
1708179140000,14160.75,14422.0,13967.0,14179.3,15396.266666659998,,
1708179145000,16192.366666659998,16180.45,15492.15,15798.45,13097.05,,
1708179150000,13625.2,13626.6,13278.783333329999,13403.66666666,13804.05,,
1708179155000,14152.783333329999,14511.68333333,13914.73333333,14179.8,15955.4,,
1708179160000,16656.53333333,16545.55,16150.06666666,16297.7,14663.93333333,,
1708179165000,15105.45,15344.58333333,14740.7,15035.95,14506.033333329999,,
1708179170000,15110.216666659999,14971.43333333,14697.533333329999,14807.116666659998,14303.81666666,,
1708179175000,14602.25,14886.16666666,14424.4,14640.116666659998,15207.31666666,,
1708179180000,15764.16666666,15881.0,15330.766666659998,15556.18333333,14913.6,,
1708179185000,15477.466666659999,15520.883333329999,14974.1,15030.0,12819.0,,
1708179190000,13268.716666659999,13335.81666666,13012.6,13222.6,13696.366666659998,,
1708179195000,14145.0,14493.383333329999,13791.716666659999,14049.766666659998,15707.366666659998,,
1708179200000,16506.53333333,16343.783333329999,15842.633333329999,16065.783333329999,14168.65,,
1708179205000,14474.91666666,14587.766666659998,14317.716666659999,14453.716666659999,15754.48333333,,
1708179210000,16284.43333333,16488.43333333,15813.85,16110.383333329999,15526.06666666,,
