Time,Parallelism,Throughput_OUT,Throughput_IN
1707264604,5.0,98400.95,97241.88333333
1707264609,5.0,99041.55,97586.85
1707264614,5.0,99915.33333333,98375.16666666
1707264619,5.0,99186.31666666,98485.45
1707264624,5.0,98081.33333333,98400.95
1707264629,5.0,98485.58333333,99041.55
1707264634,5.0,99104.78333333,99915.35
1707264639,5.0,98552.1,99186.31666666
1707264644,5.0,97400.46666666,98081.33333333
1707264649,5.0,97314.83333333,98485.58333333
1707264654,5.0,97085.35,99104.73333333
1707264659,5.0,96555.75,98552.13333333
1707264664,5.0,96339.16666666,97400.45
1707264669,5.0,96203.06666666,97314.85
1707264719,6.0,0.0,97085.36666666
1707264724,6.0,30.666666666666,96555.75
1707264729,6.0,3246.9333333333,96339.18333333
1707264734,6.0,9115.56666666,96203.08333333
1707264744,6.0,23461.23333333,0.0
1707264749,6.0,30951.35,30.7
1707264754,6.0,36530.66666666,3246.9666666666
1707264759,6.0,43585.98333333,9115.66666666
1707264764,6.0,51414.76666666,16378.45
1707264769,6.0,59220.26666665999,23461.3
1707264774,6.0,67756.2,30951.383333329995
1707264779,6.0,74674.58333333,36530.78333332999
1707264784,6.0,83348.81666665999,43586.03333332999
1707264789,6.0,88806.2,51414.9
1707264794,6.0,91808.66666666,59220.33333333
1707264799,6.0,93487.73333333,67756.23333332999
1707264804,6.0,91867.7,74674.7
1707264809,6.0,93351.21666666,83348.83333333
1707264814,6.0,96901.83333333,88806.26666666
1707264819,6.0,97409.25,91808.63333333
1707264824,6.0,98040.13333333,93487.68333333
1707264829,6.0,99019.96666666,91867.73333333
1707264834,6.0,99697.2,93351.28333333
1707264839,6.0,101742.18333333,96901.8
1707264844,6.0,101850.4,97409.28333333
1707264849,6.0,100222.86666666,98040.06666666
1707264854,6.0,100388.96666666,99019.96666666
1707264859,6.0,100090.38333333,99697.25
1707264864,6.0,103632.66666666,101742.16666666
1707264869,6.0,103406.6,101850.48333333
1707264874,6.0,103029.63333333,100222.86666666
1707264879,6.0,103741.53333333,100388.96666666
1707264884,6.0,104208.46666666,100090.43333333
1707264889,6.0,103816.18333333,103632.6
1707264894,6.0,103723.31666666,103406.61666666
1707264899,6.0,101873.15,103029.63333333
1707264904,6.0,102326.33333333,103741.53333333
1707264909,6.0,104115.91666666,104208.46666666
1707264914,6.0,104029.93333333,103816.2
1707264919,6.0,103890.31666666,103723.31666666
1707264924,6.0,103995.13333333,101873.15
1707264929,6.0,104018.98333333,102326.25
1707264934,6.0,104564.93333333,104115.88333333
1707264939,6.0,105374.66666666,104029.93333333
1707264944,6.0,105573.01666666,103890.3
1707264949,6.0,106039.63333333,103995.13333333
1707264954,6.0,105988.08333333,104018.95
1707264959,6.0,107825.26666666,104564.88333333
1707264964,6.0,107213.33333333,105374.63333333
1707264969,6.0,106970.61666666,105573.01666666
1707264974,6.0,106761.46666666,106039.6
1707264979,6.0,107217.31666666,105988.05
1707264984,6.0,107220.16666666,107825.21666666
1707264989,6.0,107300.36666666,107213.36666666
1707264994,6.0,107170.33333333,106970.6
1707264999,6.0,106988.73333333,106761.46666666
1707265004,6.0,106880.43333333,107217.33333333
