,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1703155545000,840.0,498.0,494.0,567.0,554.0,559.0
1703155550000,838.0,494.0,493.0,564.0,543.0,549.0
1703155555000,851.0,512.0,504.0,570.0,555.0,566.0
1703155560000,841.0,507.0,504.0,564.0,547.0,565.0
1703155565000,839.0,486.0,487.0,544.0,516.0,542.0
1703155570000,848.0,489.0,490.0,547.0,509.0,531.0
1703155575000,848.0,490.0,491.0,552.0,504.0,509.0
1703155580000,882.0,506.0,507.0,575.0,525.0,528.0
1703155585000,893.0,502.0,509.0,576.0,525.0,529.0
1703155590000,894.0,511.0,509.0,578.0,532.0,536.0
1703155595000,905.0,508.0,514.0,579.0,522.0,523.0
1703155600000,915.0,516.0,518.0,587.0,526.0,532.0
1703155605000,917.0,517.0,519.0,586.0,522.0,526.0
1703155610000,921.0,521.0,522.0,591.0,527.0,527.0
1703155615000,916.0,513.0,522.0,592.0,521.0,527.0
1703155620000,921.0,512.0,516.0,590.0,517.0,531.0
1703155625000,918.0,530.0,536.0,614.0,545.0,561.0
1703155630000,909.0,522.0,539.0,602.0,539.0,559.0
1703155635000,918.0,527.0,540.0,608.0,550.0,572.0
1703155640000,926.0,535.0,549.0,616.0,551.0,571.0
1703155645000,927.0,539.0,553.0,623.0,556.0,570.0
1703155650000,928.0,535.0,555.0,618.0,553.0,569.0
1703155655000,931.0,538.0,548.0,624.0,564.0,582.0
1703155660000,920.0,522.0,537.0,611.0,549.0,563.0
1703155665000,,530.0,,,558.0,
