Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 6)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 7)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 8)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 9)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 10)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 7)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 8)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 9)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 10)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 0)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
625,20983.28333333,20962.9,,,,,,,,,,1000.0,915.0,,,,,,,,,,892.0,1381.0,335.0,2
630,20969.3,20974.1,,,,,,,,,,1000.0,914.0,,,,,,,,,,894.0,1381.0,373.0,2
635,21009.5,20993.91666666,,,,,,,,,,1000.0,916.0,,,,,,,,,,894.0,1381.0,385.0,2
640,21000.93333333,21008.35,,,,,,,,,,1000.0,918.0,,,,,,,,,,894.0,1381.0,366.0,2
645,20984.95,21004.88333333,,,,,,,,,,1000.0,920.0,,,,,,,,,,895.0,1381.0,393.0,2
650,20913.68333333,20912.61666666,,,,,,,,,,1000.0,920.0,,,,,,,,,,898.0,1381.0,345.0,2
655,20857.016666659998,20855.3,,,,,,,,,,1000.0,920.0,,,,,,,,,,899.0,1381.0,364.0,2
660,20870.65,20871.066666659997,,,,,,,,,,1000.0,921.0,,,,,,,,,,899.0,1381.0,420.0,2
665,20850.95,20841.45,,,,,,,,,,1000.0,920.0,,,,,,,,,,898.0,1381.0,366.0,2
670,20847.36666666,20852.68333333,,,,,,,,,,1000.0,921.0,,,,,,,,,,898.0,1381.0,396.0,2
675,20842.43333333,20833.8,,,,,,,,,,1000.0,920.0,,,,,,,,,,897.0,1381.0,394.0,2
680,20786.266666659998,20787.266666659998,,,,,,,,,,1000.0,918.0,,,,,,,,,,900.0,1381.0,381.0,2
685,20783.05,20795.1,,,,,,,,,,1000.0,920.0,,,,,,,,,,898.0,1381.0,366.0,2
690,20768.03333333,20771.83333333,,,,,,,,,,1000.0,917.0,,,,,,,,,,897.0,1381.0,340.0,2
695,20766.733333329998,20771.066666659997,,,,,,,,,,1000.0,915.0,,,,,,,,,,896.0,1381.0,361.0,2
700,20797.066666659997,20800.33333333,,,,,,,,,,1000.0,917.0,,,,,,,,,,896.0,1381.0,364.0,2
705,20804.0,20783.4,,,,,,,,,,1000.0,913.0,,,,,,,,,,892.0,1381.0,394.0,2
710,20860.16666666,20867.3,,,,,,,,,,1000.0,913.0,,,,,,,,,,890.0,1381.0,358.0,2
715,20892.35,20900.35,,,,,,,,,,1000.0,911.0,,,,,,,,,,890.0,1381.0,361.0,2
720,,,,,,,,,,,,,,,,,,,,,,,,,,0
750,0.0,0.0,,,,,,,,,,1000.0,,,,,,,,,,,0.0,-1.0,,2
755,0.0,0.0,0.0,,,,,,,,,1000.0,1000.0,1000.0,,,,,,,,,0.0,1381.0,359.0,3
760,1304.2666666666,1485.9833333333,1489.9666666666,,,,,,,,,713.0,623.0,638.0,,,,,,,,,633.0,1381.0,379.0,3
765,3161.45,3334.01666667,3328.95,,,,,,,,,857.0,809.0,805.0,,,,,,,,,702.0,1381.0,398.0,3
770,5004.85,5170.21666667,5135.85,,,,,,,,,905.0,872.0,864.0,,,,,,,,,726.0,1381.0,383.0,3
775,6796.733333329999,6986.383333329999,6958.25,,,,,,,,,929.0,895.0,898.0,,,,,,,,,731.0,1381.0,383.0,3
780,8666.01666666,8843.51666666,8841.23333333,,,,,,,,,943.0,916.0,915.0,,,,,,,,,729.0,1381.0,382.0,3
785,10518.35,10657.43333333,10646.91666666,,,,,,,,,953.0,931.0,925.0,,,,,,,,,734.0,1381.0,352.0,3
790,12395.18333333,12514.216666659999,12533.883333329999,,,,,,,,,959.0,940.0,936.0,,,,,,,,,747.0,1381.0,356.0,3
795,14272.8,14404.016666659998,14419.783333329999,,,,,,,,,965.0,948.0,943.0,,,,,,,,,756.0,1381.0,316.0,3
800,16143.116666659998,16268.766666659998,16286.216666659999,,,,,,,,,969.0,954.0,948.0,,,,,,,,,765.0,1381.0,311.0,3
805,18030.95,18138.016666659998,18207.733333329998,,,,,,,,,972.0,958.0,953.0,,,,,,,,,772.0,1381.0,362.0,3
810,19908.86666666,20009.93333333,20029.08333333,,,,,,,,,974.0,963.0,953.0,,,,,,,,,777.0,1381.0,444.0,3
815,21754.53333333,21845.2,21890.61666666,,,,,,,,,977.0,965.0,955.0,,,,,,,,,779.0,1381.0,443.0,3
820,22346.16666666,22233.53333333,22287.55,,,,,,,,,1000.0,997.0,981.0,,,,,,,,,797.0,1381.0,476.0,3
825,22374.7,22281.93333333,22322.38333333,,,,,,,,,1000.0,997.0,982.0,,,,,,,,,797.0,1381.0,435.0,3
830,22412.33333333,22323.83333333,22376.93333333,,,,,,,,,1000.0,997.0,982.0,,,,,,,,,799.0,1381.0,470.0,3
835,22506.516666659998,22385.266666659998,22441.066666659997,,,,,,,,,1000.0,1000.0,980.0,,,,,,,,,806.0,1381.0,459.0,3
840,22535.9,22439.11666666,22455.316666659997,,,,,,,,,999.0,1000.0,981.0,,,,,,,,,812.0,1381.0,363.0,3
845,22539.96666666,22497.68333333,22554.71666666,,,,,,,,,999.0,1000.0,982.0,,,,,,,,,820.0,1381.0,432.0,3
850,22568.016666659998,22518.88333333,22523.7,,,,,,,,,999.0,1000.0,978.0,,,,,,,,,822.0,1381.0,415.0,3
855,22562.93333333,22528.4,22537.53333333,,,,,,,,,999.0,1000.0,977.0,,,,,,,,,825.0,1381.0,398.0,3
860,22564.266666659998,22549.71666666,22545.91666666,,,,,,,,,999.0,1000.0,978.0,,,,,,,,,823.0,1381.0,405.0,3
865,22606.03333333,22572.85,22543.96666666,,,,,,,,,999.0,1000.0,978.0,,,,,,,,,821.0,1381.0,449.0,3
870,22636.6,22611.233333329998,22583.46666666,,,,,,,,,998.0,1000.0,980.0,,,,,,,,,823.0,1381.0,483.0,3
875,22656.08333333,22632.38333333,22620.43333333,,,,,,,,,998.0,1000.0,982.0,,,,,,,,,822.0,1381.0,460.0,3
880,22656.25,22655.28333333,22625.03333333,,,,,,,,,997.0,1000.0,983.0,,,,,,,,,819.0,1381.0,473.0,3
885,22674.63333333,22647.93333333,22654.65,,,,,,,,,997.0,1000.0,985.0,,,,,,,,,822.0,1381.0,472.0,3
890,22645.58333333,22643.35,22640.65,,,,,,,,,996.0,1000.0,985.0,,,,,,,,,827.0,1381.0,408.0,3
895,22637.11666666,22643.18333333,22655.88333333,,,,,,,,,996.0,1000.0,985.0,,,,,,,,,829.0,1381.0,493.0,3
900,22671.15,22616.91666666,22663.266666659998,,,,,,,,,995.0,1000.0,984.0,,,,,,,,,830.0,1381.0,532.0,3
905,22597.78333333,22579.266666659998,22609.4,,,,,,,,,993.0,1000.0,982.0,,,,,,,,,825.0,1381.0,412.0,3
910,22549.8,22547.03333333,22540.18333333,,,,,,,,,991.0,1000.0,979.0,,,,,,,,,820.0,1381.0,525.0,3
915,22559.266666659998,22523.13333333,22523.1,,,,,,,,,989.0,1000.0,978.0,,,,,,,,,814.0,1381.0,487.0,3
920,22563.75,22508.16666666,22534.95,,,,,,,,,987.0,1000.0,978.0,,,,,,,,,813.0,1381.0,502.0,3
925,22527.816666659997,22486.4,22515.28333333,,,,,,,,,985.0,1000.0,977.0,,,,,,,,,816.0,1381.0,522.0,3
930,22455.66666666,22449.0,22479.85,,,,,,,,,982.0,1000.0,973.0,,,,,,,,,813.0,1381.0,615.0,3
935,22366.55,22386.25,22387.78333333,,,,,,,,,978.0,1000.0,968.0,,,,,,,,,820.0,1381.0,410.0,3
940,22355.21666666,22408.86666666,22393.43333333,,,,,,,,,978.0,1000.0,969.0,,,,,,,,,817.0,1381.0,347.0,3
945,22364.1,22427.9,22410.88333333,,,,,,,,,979.0,1000.0,970.0,,,,,,,,,817.0,1381.0,357.0,3
950,22377.71666666,22418.11666666,22419.63333333,,,,,,,,,980.0,1000.0,969.0,,,,,,,,,812.0,1381.0,395.0,3
955,22372.0,22387.36666666,22407.2,,,,,,,,,980.0,1000.0,969.0,,,,,,,,,811.0,1381.0,409.0,3
960,22333.233333329998,22381.316666659997,22367.2,,,,,,,,,982.0,1000.0,968.0,,,,,,,,,812.0,1381.0,467.0,3
965,22447.63333333,22402.53333333,22392.516666659998,,,,,,,,,984.0,1000.0,969.0,,,,,,,,,813.0,1381.0,487.0,3
970,22426.86666666,22431.08333333,22434.41666666,,,,,,,,,983.0,1000.0,971.0,,,,,,,,,813.0,1381.0,484.0,3
975,22438.016666659998,22429.733333329998,22453.83333333,,,,,,,,,984.0,1000.0,971.0,,,,,,,,,813.0,1381.0,551.0,3
980,22420.233333329998,22419.2,22428.86666666,,,,,,,,,984.0,1000.0,969.0,,,,,,,,,809.0,1381.0,438.0,3
985,22439.016666659998,22432.16666666,22365.28333333,,,,,,,,,985.0,1000.0,969.0,,,,,,,,,807.0,1381.0,546.0,3
990,22411.18333333,22417.15,22365.83333333,,,,,,,,,985.0,1000.0,975.0,,,,,,,,,809.0,1381.0,532.0,3
995,22428.58333333,22406.233333329998,22398.85,,,,,,,,,988.0,1000.0,980.0,,,,,,,,,802.0,1381.0,489.0,3
1000,22397.96666666,22364.25,22381.016666659998,,,,,,,,,987.0,1000.0,979.0,,,,,,,,,802.0,1381.0,429.0,3
