Time,Parallelism,Throughput_OUT,Throughput_IN
1708176169,3.0,1118.7,109783.45
1708176174,3.0,1118.7,111326.21666666
1708176179,3.0,1118.7,110866.65
1708176184,3.0,7323.41666666,118154.38333333
1708176189,3.0,10820.25,126139.63333333
1708176194,3.0,10820.25,122600.61666666
1708176199,3.0,10820.25,114203.25
1708176204,3.0,10820.25,108166.1
1708176209,3.0,9701.55,108295.9
1708176214,3.0,9701.55,107505.13333333
1708176219,3.0,9701.55,117019.76666666
1708176224,3.0,9701.55,114675.71666666
1708176229,3.0,9701.55,111994.26666666
1708176234,3.0,9701.55,112796.18333333
1708176239,3.0,9701.55,114216.15
1708176244,3.0,3496.83333333,113292.76666666
1708176249,3.0,0.0,113996.5
1708176254,3.0,0.0,112746.5
1708176259,3.0,0.0,123000.21666666
1708176264,3.0,0.0,129733.83333333
1708176269,3.0,0.0,130164.25
1708176274,3.0,34.25,131580.9
1708176279,3.0,8113.25,132377.48333333
1708176284,3.0,12429.06666666,139807.63333332998
1708176289,3.0,12429.06666666,130965.58333333
1708176294,3.0,12429.06666666,118474.68333333
1708176299,3.0,12429.06666666,111948.73333333
1708176304,3.0,12429.06666666,110931.11666666
1708176309,3.0,12429.06666666,109150.96666666
1708176314,3.0,12429.06666666,117307.15
1708176319,3.0,12429.06666666,111037.68333333
1708176324,3.0,12429.06666666,110217.7
1708176329,3.0,12429.06666666,109543.01666666
1708176334,3.0,12394.81666666,108432.71666666
1708176339,3.0,4874.2,108773.0
1708176344,3.0,558.3833333333,108072.6
1708176349,3.0,558.3833333333,112718.13333333
1708176354,3.0,558.3833333333,119992.28333333
1708176359,3.0,558.3833333333,126103.4
1708176364,3.0,558.3833333333,125620.81666666
1708176369,3.0,558.3833333333,127097.53333333
1708176374,3.0,558.3833333333,126380.56666666
1708176379,3.0,558.3833333333,127758.61666666
1708176384,3.0,558.3833333333,128593.96666666
1708176389,3.0,558.3833333333,123791.11666666
1708176394,3.0,558.3833333333,125203.31666666
1708176399,3.0,0.0,125352.95
1708176404,3.0,6651.41666667,125550.46666666
1708176409,3.0,8024.25,132555.4
1708176414,3.0,8024.25,128799.08333333
1708176419,3.0,8024.25,119273.08333333
1708176424,3.0,8024.25,121186.8
1708176429,3.0,8024.25,120831.68333333
1708176434,3.0,8024.25,122107.01666666
1708176439,3.0,8024.25,129223.0
1708176444,3.0,8024.25,121079.05
1708176449,3.0,8024.25,122030.93333333
1708176454,3.0,8024.25,122287.55
1708176459,1.0,2621.95,121761.55
1708176504,2.0,0.0,120378.56666666
1708176509,4.0,0.0,38029.6
1708176519,4.0,0.0,0.0
1708176524,4.0,0.0,0.0
1708176529,4.0,0.0,10.716666666666
1708176534,4.0,0.0,657.5166666666
1708176539,4.0,0.0,2502.6833333333
1708176544,4.0,0.0,7716.4
1708176549,4.0,0.0,17881.13333333
1708176554,4.0,0.0,30622.03333333
