Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
620,34180.0,32925.86666666,32808.51666666,,965.0,821.0,823.0,,839.0,844.0,39195759.0,1689.0,3
625,31191.73333333,32277.48333333,32868.966666659995,,966.0,893.0,885.0,,885.0,891.0,62759130.0,2321.0,3
630,29670.016666659998,31014.883333330003,28894.183333330002,,967.0,895.0,893.0,,931.0,934.0,27109165.0,2140.0,3
635,30636.183333330002,30620.066666659997,29983.5,,962.0,898.0,893.0,,971.0,974.0,40836261.0,2432.0,3
640,33147.78333333,30869.883333330003,30910.7,,959.0,900.0,893.0,,939.0,945.0,49967510.0,2352.0,3
645,29743.8,30406.78333333,32007.45,,959.0,898.0,888.0,,958.0,964.0,63576589.0,3118.0,3
650,26867.8,27751.45,28094.333333330003,,964.0,901.0,896.0,,995.0,1000.0,41543590.0,3348.0,3
655,29152.9,27127.5,26460.35,,961.0,900.0,899.0,,1000.0,1000.0,58181379.0,3623.0,3
660,31241.05,30130.083333330003,30001.683333330002,,962.0,900.0,897.0,,973.0,980.0,28617906.0,747.0,3
665,31862.383333330003,29758.65,31005.53333333,,962.0,907.0,900.0,,928.0,934.0,28617906.0,747.0,3
670,30697.766666659998,29621.66666666,30264.3,,966.0,914.0,911.0,,945.0,952.0,57152559.0,587.0,3
675,30279.21666666,29610.566666659997,29232.85,,966.0,908.0,911.0,,966.0,970.0,27076406.0,443.0,3
680,29995.266666659998,31078.11666666,29659.41666666,,966.0,907.0,911.0,,988.0,991.0,41119651.0,647.0,3
685,30361.316666659997,31230.65,30002.98333333,,968.0,904.0,908.0,,1000.0,1000.0,50875299.0,681.0,3
690,31630.41666666,29560.1,31233.333333330003,,965.0,901.0,905.0,,965.0,968.0,62374171.0,1180.0,3
695,30796.2,29929.333333330003,30338.2,,967.0,900.0,908.0,,924.0,925.0,25376114.0,1166.0,3
700,30148.4,29410.566666659997,29302.21666666,,970.0,902.0,912.0,,944.0,946.0,47684133.0,1618.0,3
705,30041.183333330002,30176.85,29564.98333333,,971.0,907.0,915.0,,967.0,969.0,61322502.0,2164.0,3
710,31786.28333333,31163.61666666,29664.683333330002,,970.0,908.0,914.0,,977.0,980.0,25574631.0,1862.0,3
715,30222.516666659998,32065.133333330003,32520.41666666,,970.0,910.0,911.0,,953.0,952.0,36289669.0,1760.0,3
720,27895.683333330002,27088.0,28216.85,,969.0,914.0,917.0,,965.0,966.0,49138637.0,2060.0,3
725,31304.316666659997,28692.633333330003,27101.333333330003,,967.0,906.0,915.0,,950.0,953.0,18484762.0,516.0,3
