,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1736812875000,993.0,717.0,685.0,670.0,671.0,,,
1736812880000,993.0,711.0,681.0,663.0,671.0,,,
1736812885000,994.0,704.0,683.0,658.0,665.0,,,
1736812890000,994.0,708.0,679.0,653.0,671.0,,,
1736812895000,993.0,707.0,679.0,659.0,666.0,,,
1736812900000,993.0,696.0,675.0,657.0,674.0,,,
1736812905000,993.0,705.0,687.0,664.0,673.0,,,
1736812910000,992.0,709.0,687.0,666.0,674.0,,,
1736812915000,989.0,688.0,682.0,672.0,661.0,,,
1736812920000,988.0,695.0,677.0,660.0,665.0,,,
1736812925000,987.0,703.0,691.0,663.0,682.0,,,
1736812930000,987.0,702.0,685.0,678.0,679.0,,,
1736812935000,985.0,709.0,697.0,678.0,688.0,,,
1736812940000,984.0,707.0,694.0,688.0,672.0,,,
1736812945000,985.0,699.0,688.0,679.0,669.0,,,
1736812950000,985.0,696.0,689.0,679.0,673.0,,,
1736812955000,985.0,702.0,694.0,682.0,681.0,,,
1736812960000,983.0,709.0,696.0,689.0,675.0,,,
1736812965000,982.0,709.0,695.0,688.0,679.0,,,
1736812970000,983.0,704.0,692.0,687.0,685.0,,,
1736812975000,986.0,706.0,685.0,685.0,682.0,,,
1736812980000,986.0,704.0,693.0,680.0,697.0,,,
1736812985000,988.0,699.0,685.0,694.0,680.0,,,
1736812990000,989.0,708.0,691.0,680.0,698.0,,,
1736812995000,986.0,719.0,698.0,695.0,688.0,,,
1736813000000,987.0,712.0,691.0,686.0,694.0,,,
1736813005000,987.0,720.0,702.0,688.0,710.0,,,
1736813010000,988.0,713.0,690.0,705.0,689.0,,,
1736813015000,987.0,697.0,681.0,680.0,685.0,,,
1736813020000,989.0,701.0,673.0,673.0,681.0,,,
1736813025000,990.0,691.0,672.0,666.0,687.0,,,
1736813030000,990.0,,,675.0,,,,
1736813035000,,,,,,,,
1736813055000,1000.0,1000.0,1000.0,,,1000.0,,
1736813060000,319.0,115.0,5.0,1000.0,1000.0,335.0,,
1736813065000,628.0,344.0,255.0,64.0,132.0,578.0,,
1736813070000,747.0,437.0,355.0,302.0,344.0,579.0,,
1736813075000,800.0,435.0,373.0,392.0,422.0,552.0,,
1736813080000,831.0,429.0,382.0,401.0,434.0,536.0,,
1736813085000,855.0,435.0,404.0,420.0,437.0,573.0,,
1736813090000,868.0,475.0,443.0,449.0,453.0,577.0,,
1736813095000,882.0,486.0,445.0,472.0,489.0,583.0,,
1736813100000,891.0,510.0,473.0,484.0,486.0,596.0,,
1736813105000,901.0,519.0,486.0,499.0,511.0,596.0,,
1736813110000,902.0,542.0,497.0,518.0,531.0,604.0,,
1736813115000,910.0,545.0,505.0,523.0,543.0,607.0,,
1736813120000,965.0,593.0,556.0,538.0,550.0,639.0,,
1736813125000,966.0,609.0,577.0,582.0,590.0,632.0,,
1736813130000,968.0,626.0,591.0,594.0,613.0,641.0,,
1736813135000,968.0,630.0,593.0,616.0,627.0,649.0,,
1736813140000,972.0,656.0,620.0,619.0,631.0,668.0,,
1736813145000,968.0,657.0,617.0,637.0,657.0,644.0,,
1736813150000,969.0,652.0,604.0,629.0,656.0,640.0,,
1736813155000,969.0,653.0,615.0,624.0,640.0,648.0,,
1736813160000,972.0,652.0,615.0,630.0,651.0,647.0,,
1736813165000,971.0,654.0,614.0,634.0,649.0,646.0,,
1736813170000,977.0,648.0,611.0,637.0,643.0,647.0,,
1736813175000,976.0,647.0,614.0,629.0,635.0,641.0,,
1736813180000,971.0,637.0,611.0,626.0,638.0,632.0,,
1736813185000,969.0,632.0,603.0,633.0,636.0,626.0,,
1736813190000,966.0,606.0,587.0,621.0,620.0,620.0,,
1736813195000,965.0,627.0,599.0,606.0,604.0,640.0,,
1736813200000,964.0,634.0,609.0,617.0,615.0,633.0,,
1736813205000,967.0,633.0,607.0,624.0,623.0,635.0,,
1736813210000,969.0,633.0,619.0,623.0,618.0,639.0,,
1736813215000,967.0,629.0,609.0,629.0,633.0,624.0,,
1736813220000,966.0,613.0,594.0,617.0,621.0,624.0,,
1736813225000,966.0,607.0,593.0,603.0,603.0,606.0,,
1736813230000,966.0,609.0,599.0,592.0,598.0,613.0,,
1736813235000,968.0,610.0,589.0,608.0,607.0,607.0,,
1736813240000,970.0,616.0,597.0,603.0,597.0,612.0,,
1736813245000,975.0,608.0,593.0,600.0,606.0,616.0,,
1736813250000,976.0,621.0,602.0,610.0,606.0,613.0,,
1736813255000,980.0,610.0,603.0,606.0,614.0,621.0,,
1736813260000,976.0,598.0,580.0,611.0,613.0,605.0,,
1736813265000,979.0,619.0,598.0,602.0,594.0,608.0,,
1736813270000,980.0,635.0,605.0,613.0,609.0,636.0,,
1736813275000,981.0,632.0,611.0,627.0,621.0,640.0,,
1736813280000,983.0,649.0,623.0,626.0,628.0,641.0,,
1736813285000,980.0,643.0,617.0,642.0,645.0,658.0,,
1736813290000,979.0,628.0,604.0,633.0,640.0,642.0,,
1736813295000,976.0,622.0,606.0,619.0,625.0,632.0,,
1736813300000,974.0,630.0,608.0,613.0,626.0,631.0,,
1736813305000,975.0,649.0,627.0,623.0,628.0,653.0,,
1736813310000,,,,,,,,
1736813330000,,,1000.0,,,,,
1736813335000,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,
