,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,Map,Map,Map,Map,Map,Map,Map,Map
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1722009140000,953.0,575.0,553.0,593.0,541.0,577.0,,
1722009145000,979.0,601.0,589.0,627.0,576.0,610.0,,
1722009150000,1000.0,634.0,612.0,663.0,597.0,632.0,,
1722009155000,1000.0,647.0,625.0,698.0,608.0,641.0,,
1722009160000,1000.0,652.0,630.0,701.0,627.0,645.0,,
1722009165000,1000.0,656.0,638.0,709.0,631.0,648.0,,
1722009170000,1000.0,661.0,643.0,717.0,631.0,650.0,,
1722009175000,1000.0,668.0,649.0,720.0,643.0,655.0,,
1722009180000,1000.0,679.0,660.0,727.0,652.0,665.0,,
1722009185000,1000.0,680.0,676.0,729.0,652.0,669.0,,
1722009190000,1000.0,677.0,675.0,739.0,659.0,676.0,,
1722009195000,1000.0,688.0,687.0,745.0,664.0,679.0,,
1722009200000,1000.0,696.0,694.0,752.0,668.0,681.0,,
1722009205000,1000.0,699.0,695.0,753.0,677.0,692.0,,
1722009210000,1000.0,700.0,692.0,763.0,678.0,683.0,,
1722009215000,1000.0,699.0,694.0,754.0,679.0,686.0,,
1722009220000,1000.0,701.0,697.0,755.0,662.0,684.0,,
1722009225000,1000.0,695.0,687.0,752.0,670.0,682.0,,
1722009230000,1000.0,695.0,683.0,752.0,674.0,687.0,,
1722009235000,1000.0,700.0,689.0,755.0,670.0,689.0,,
1722009240000,1000.0,704.0,692.0,759.0,672.0,691.0,,
1722009245000,1000.0,705.0,689.0,767.0,675.0,690.0,,
1722009250000,1000.0,706.0,690.0,769.0,,686.0,,
1722009255000,,,,,,,,
1722009290000,,,,1000.0,,,,
1722009295000,505.0,1000.0,1000.0,191.0,1000.0,1000.0,1000.0,
1722009300000,697.0,550.0,556.0,293.0,437.0,333.0,456.0,
1722009305000,798.0,498.0,557.0,373.0,416.0,388.0,428.0,
1722009310000,849.0,517.0,544.0,440.0,418.0,430.0,437.0,
1722009315000,879.0,555.0,569.0,459.0,464.0,493.0,471.0,
1722009320000,899.0,580.0,586.0,475.0,485.0,528.0,500.0,
1722009325000,914.0,592.0,592.0,483.0,504.0,539.0,514.0,
1722009330000,925.0,593.0,591.0,489.0,518.0,545.0,518.0,
1722009335000,933.0,587.0,585.0,502.0,516.0,551.0,514.0,
1722009340000,940.0,595.0,592.0,511.0,519.0,554.0,525.0,
1722009345000,945.0,603.0,602.0,518.0,527.0,564.0,536.0,
1722009350000,950.0,609.0,609.0,525.0,533.0,572.0,543.0,
1722009355000,991.0,608.0,607.0,555.0,535.0,583.0,544.0,
1722009360000,1000.0,617.0,614.0,568.0,546.0,607.0,559.0,
1722009365000,1000.0,636.0,623.0,574.0,563.0,622.0,577.0,
1722009370000,1000.0,649.0,637.0,582.0,576.0,638.0,590.0,
1722009375000,1000.0,651.0,649.0,589.0,581.0,638.0,594.0,
1722009380000,1000.0,653.0,656.0,597.0,588.0,641.0,598.0,
1722009385000,1000.0,662.0,664.0,605.0,591.0,658.0,607.0,
1722009390000,1000.0,669.0,669.0,605.0,590.0,670.0,615.0,
1722009395000,1000.0,677.0,675.0,606.0,596.0,671.0,620.0,
